PK_CLIENTE;CustomerKey;Customer;Customer Type;Line Of Business;Business Unit;Business Family;Regional Sales Mgr;Phone;Division;Address Number
920e5496ae5d25e50dd68f36794e684a84877168098c4b40c3d6da02df03ae30;10002506;ActionWorld Shop;G2;Não informado;1;R3;S16;816-455-8733;2;10002506
1e64cc8654b1e25c6ec9cd7be93eb3dc172496f01e4ae7a095cd75527718a6fe;10025515;UniPress Shop;G2;Não informado;1;R1;S20;816-455-8733;2;10025515
b1448f5e64e9ade7fb26b91b1d6ea724b7e9fb343d3bf2348898dbf598125097;10005376;Bibb Store;G2;Não informado;1;R3;S1;816-455-8733;1;10005376
97e969944068a635d0f98faed94121271a4cba400ed9fbd1fa63eece2e0a3dde;10021006;Overdreams Shop;G2;Não informado;1;R3;S1;816-455-8733;1;10021006
472616bc1fdff744ec1ccce59fb582d27c73ed27afbb7223e88c5beb728a4f2d;10013079;Gandalf Supermarket;G2;Não informado;1;R3;S16;816-455-8733;1;10013079
c7dfba0f25cac9b96d3987379d93a8e4f484e6b462db2212d493857731ac85b5;10025495;UniForum Shop;G2;Não informado;1;R3;S5;816-455-8733;2;10025495
bac000e90c4303f118a75102c55422c44645b07f642704e55e9ad8262130f0a9;10021494;Paraclipse Shop;G2;Não informado;1;R3;S1;816-455-8733;1;10021494
9b23cada72133142a1c761b86791cf00bf60e8d0cc1b77c5cc87bd239831d6b8;10017036;Icon Superstore;G2;Não informado;1;R1;S11;816-455-8733;2;10017036
52728722c4127a850a20e13189fdc008a284b62ba498fdef21e5a4d0f40f88c6;10007577;Cam-Built Supermarket;G2;Não informado;1;R3;S1;816-455-8733;2;10007577
014cb7bd526996a8155aa7da14814530be667ad66f791afe43b7299231d7e2b5;10023513;Sagent Shop;G2;Não informado;1;R3;S16;816-455-8733;2;10023513
ee2718cdf5030bae21bcfb2a3708119243f6564ffd8551677ccfaf9068d8fe5e;10009642;David Store;G2;Não informado;1;R3;S16;816-455-8733;2;10009642
294253f0722b575293ddecb3977516658535456cf6419128aecc123ff0ae0662;10013397;G-Com Supermarket;G2;Não informado;1;R3;S9;816-455-8733;1;10013397
458c66981d98919497c7118f28dab7398172715b8dea19e1ff15c6cbcf5b84a2;10020491;Nbase Shop;G1;M1;1;R3;S16;816-455-8733;1;10020491
1926e707377cfc8a8ff1c7ef92fb677ef51c1caf80874e0712a21be6a1ca350f;10003857;Beckman Market;G2;Não informado;1;R3;S1;816-455-8733;1;10003857
cc9bf276e8ef0b8578d528c6fd5d779c1630f3ba62b45dd110458c5291688f5d;10026521;Xcert Shop;G1;M1;1;R3;S20;816-455-8733;1;10026521
9c9eba3e8d64119954f9c4a8d2d7613feaef80e72b8e100d50ff5e7512c08e63;10017307;Idyll Store;G3;Não informado;1;R3;S8;816-455-8733;1;10017307
cedc1a5b9392b422a3a82d05fd707d84229e66e7c2386cc9559a2d22a1a2c920;10003749;Associates Shop;G1;M1;1;R3;S19;816-455-8733;1;10003749
0e69adbdb7c13941b8e08d4e70f5ad1d54f016200c448ab8377994a79e435776;10006916;Boott Store;G2;Não informado;1;R3;S16;816-455-8733;1;10006916
e3881599129225d18f9ed4d8a9b92a3687345ede957ddc8fe4d2084eae2adeb1;10014238;Harbor Store;G1;M1;1;R3;S19;816-455-8733;1;10014238
01e2ec5e7f43c39ba105d38614b56b22ee365fad33fd0f2cd31cd0f0e75771e6;10014047;Gulf Market;G2;Não informado;1;R2;S4;816-455-8733;2;10014047
97da408111ed9043abfada11d0d738d4cdf9fcdb50951323ee60791b63c69497;10021184;Pacific Supermarket;G2;Não informado;1;R3;S16;816-455-8733;2;10021184
28e098dd4f8c1db8cc2573a84f8446071f58a6c53d0abd1467121d15d26bc41c;10022746;Rdlabs Shop;G1;M1;1;R3;S19;816-455-8733;1;10022746
