PK_TEMPO;DateKey;Promised Delivery Date;Actual Delivery Date;Invoice Date
58301284e954ee899560bcf82ae5b15e838db5560239136b4924ab5d91f331e4;07/09/2018;26/08/2019;26/08/2019;09/09/2018
e9ccbd00684bcc3cae0beb508340567fcc8ba6fe488ca69d4e21c59deafe4eea;08/04/2018;08/04/2019;08/04/2019;10/04/2018
abe79c0567bacfab9583c9efe011bc2b9c6ac84706ceb1fc045a23f13fd8291b;16/04/2018;15/04/2019;15/04/2019;18/04/2018
8d609010bdb36c2213892d20a286860cdbc2ca1ebcf6822e107789321caa15bc;21/06/2018;17/06/2019;17/06/2019;23/06/2018
39f8197aa577314164977f4a9ceefadd64d796a6d319e7dc04c9a10f4289d039;06/07/2018;14/07/2019;14/07/2019;08/07/2018
943991609c7071d3c0160ee01dab8105b767be352572c2297bfe2e33decb68a4;25/10/2017;24/10/2018;24/10/2018;27/10/2017
8b4e75e13c0a462c17f3ed4b0db353ab9e008b5ce90814324074c440d6648daf;12/05/2018;11/05/2019;11/05/2019;14/05/2018
17ad7926706f4f0240db92b83143f55280c82f97cffc4416ebac818460fdddca;16/05/2017;16/05/2018;16/05/2018;18/05/2017
ed967fa4351bcff55937f2eba824d4d58d488c160a68f2073b240831876a327a;25/05/2018;25/05/2019;25/05/2019;27/05/2018
4c4169e98e33bcebdbfb6e13acc01a33ce31355428c7f3a41616f4a73c085514;18/07/2017;26/07/2018;26/07/2018;20/07/2017
fd99362547c4333c9c4301047315f97ff91d98a30fdbbebaa79ef2d03b22eedd;22/09/2017;20/09/2018;20/09/2018;24/09/2017
659ae42fcfa34f7631e6b403a9a7472848883b17766ffaf0bfb13fe4d34513a8;20/10/2017;19/10/2018;19/10/2018;22/10/2017
9a2a63ab315dfaf2972e977e3c823d07300a7e748703500822878ce0121755e1;10/09/2018;09/09/2019;09/09/2019;12/09/2018
f2a516c1eda6c825b11bd0946967504b1e190e2b3c0ec811829bd62e1c10980e;26/06/2017;27/06/2018;27/06/2018;28/06/2017
3719fcab1eca762b16f7fa7d38805ef056253facf387d5dd1c4809223ddd7d62;21/01/2019;21/01/2020;21/01/2020;23/01/2019
d8cebb366121a5bf3b04320cde76e060eabe747b6932c4c1d495fd1066c1d219;09/02/2019;08/02/2020;08/02/2020;11/02/2019
54c6393e3f69e77afcc34716ef5118c15fe83c7e73bf94608c36ca30cf9da796;13/01/2018;13/01/2019;13/01/2019;15/01/2018
160e916cdc79b7a3fc6ac4a86c2b62aaacc3544821f6c98108119e76f294a765;23/01/2018;23/01/2019;23/01/2019;25/01/2018
5227e319e92a5d388e377a58e25086b715a0c049353f455081b61c96f6bffe7f;06/02/2017;05/02/2018;05/02/2018;09/02/2017
93e6bb0103e236f46f8d2d1aedfc4788912edd27e8dcd28792141e1e5df4fb1e;16/03/2017;14/03/2018;14/03/2018;18/03/2017
9a2e6ab401504f5ac0d16a37ee10ecaaaf638883ac7929a5d23c5576dd8d2fcb;15/04/2018;13/04/2019;13/04/2019;17/04/2018
d3344a388b7d34d30152dce68cec0b57768f8366e9075ba9ae1e8f414b8d7ed9;26/04/2017;25/04/2018;25/04/2018;28/04/2017
4e9331c679befde823f7280e1c5c8138cf3dce77cb7abd95bb4d7db338e15a2d;10/05/2018;10/05/2019;10/05/2019;12/05/2018
0813a81eeee5a8a04cdc7d784fd7ab379b8b5fbd48f6e70fb1e2fdc930cff43d;02/08/2017;31/07/2018;31/07/2018;04/08/2017
587904dd0a6e84c0bc1bc161afa0c9e47715496e3d2fc161a580debb2aff82fe;27/09/2018;23/09/2019;23/09/2019;29/09/2018
34ac09c111f1337dd3c7c76103651686a9f942e92070c4a0dbd67f2950332558;18/10/2017;17/10/2019;17/10/2019;20/10/2017
3b73bfdcc9df0e2f973f0718fa93351156ebbed16901db3c9fc3a989d698ddec;21/10/2018;21/10/2019;21/10/2019;23/10/2018
c6183c58e631936474d506cfd96f8e96f7a8fceaeb3a5769428d07c0dab80974;29/11/2017;28/11/2018;28/11/2018;01/12/2017
66ca22fe909a1a57c8e5fd9f4256c253689ed36e4f5e8555c0d2f08abc1302ff;07/12/2017;13/12/2018;13/12/2018;09/12/2017
26267ca83ebd3468bf966f5bc618244dbf1e0c2915bdcad7dddea02235ffeb75;22/12/2018;21/12/2019;21/12/2019;24/12/2018
a85f12842c49c24f50ae7ae0bbe4c2a38bb9e086a5a320f82f82963f932c1df6;10/01/2017;09/01/2018;09/01/2018;13/01/2017
